,Text,Language
1269,ನಾನು ಹೋಗಬೇಕಾಗಿದೆ.,Kannada
1953,"4, 5. అభిషిక్త క్రైస్తవులు 1919 మొదలుకొని ఏ పని చేయడం ప్రారంభించారు, అది వారికి ఒక గొప్ప సవాలుగా ఎందుకుంది?",Telugu
1138,ಆದ್ದರಿಂದ ನೀವು ಯಾರನ್ನಾದರೂ ಭೇಟಿಯಾಗುತ್ತೀರಿ ಮತ್ತು ಅದು ಹೇಗೆ ನಡೆಯುತ್ತಿದೆ?,Kannada
989,மக்களுக்கு நன்றி.,Tamil
1085,ಕೆಲವು ಸಾಮಾನ್ಯ ತಪ್ಪು ಮಾಡುವ ಬಗ್ಗೆ ಮಾತನಾಡಲು ಕೆಲವೊಮ್ಮೆ ಜೈಲುಗಳಲ್ಲಿ ದೌರ್ಜನ್ಯವನ್ನು ದಿನನಿತ್ಯದ ಜೀವನದಲ್ಲಿ ಬಳಸಲಾಗುತ್ತದೆ ಮತ್ತು ನೀವು ಅದನ್ನು ಉತ್ಪ್ರೇಕ್ಷಿಸಲು ಬಯಸುತ್ತೀರಿ.,Kannada
1707,"మహిళలపై అత్యాచారాలు, దాడులు రోజురోజుకీ పెరిగిపోతున్నాయి.",Telugu
1940,1995లో బవేరియా ప్రత్యక్ష ప్రజాస్వామ్యాన్ని ప్రజాభిప్రాయ సేకరణలోని స్థానిక స్థాయిలో ప్రవేశపెట్టింది.,Telugu
948,நாங்கள் திரைப்படங்களுக்குச் செல்கிறோம் என்று நீங்கள் என்ன சொல்கிறீர்கள்?,Tamil
393,എനിക്ക് താല്പര്യമില്ല.,Malayalam
1011,ஒரு முறை ஒரு சிறிய கிராமத்தில் தங்க ரொட்டி மரியன் என்ற பெண் வாழ்ந்தார்.,Tamil
1041,மிகவும் பயமாக இருந்தது என் அன்பே கவலைப்படாதே இவை அனைத்தும் விரைவில் முடிந்துவிடும் என்று அவர் சொன்னது போல் இந்த வண்டி மற்றொரு போர்டல் வழியாக சென்று டிரைவ்வேயை அடைந்தது.,Tamil
94,ലേഖനത്തെ സംബന്ധിക്കുന്ന എല്ലാ വിവരങ്ങളും ചേർത്ത് ലേഖനം സമ്പൂർണ്ണമാക്കുന്നതിനും എല്ലാ ചെറുതും വലുതുമായ തെറ്റുകൾ തിരുത്തുന്നതിനും വിക്കിപീഡിയർ ശ്രദ്ധിക്കുന്നു.,Malayalam
1726,రోహిత్‌ చేసిన ట్వీట్‌పై బాలీవుడ్ హీరోయిన్ కంగనా రనౌత్ ఘాటు వ్యాఖ్యలు చేశారు.,Telugu
950,அது நன்றாக இருக்கும்.,Tamil
567,"ഹലോ, വിവാഹത്തിൽ നാർസിസസ് കൈ ചോദിക്കാൻ ഞാൻ ഇവിടെയെത്തി, പക്ഷേ അവളുടെ പേര് എങ്ങനെ അറിയാം, നിങ്ങൾ ആരാണ്.",Malayalam
1264,ನೀವು ಹೇಗಿದ್ದೀರಿ?,Kannada
1573,ఇందులో 100 ప్రశ్నలు ఇస్తారు.,Telugu
1443,సామెత ఏమిటి?,Telugu
1766,ఇది ఇన్స్టాల్ సులభం.,Telugu
960,"எல்லா வார இறுதிகளிலும் நான் சுதந்திரமாக இருக்கிறேன், ஏதாவது செய்வோம்.",Tamil
2001,ఇదంతా వీడియో కెమెరాలో రికార్డు అయింది.,Telugu
1931,ఆరు జిల్లాలలో డీజిల్ నిషేధం అంటున్న కేంద్ర మంత్రి నితిన్ గడ్కారీ?,Telugu
841,"நீங்கள் யாராவது அழுவதைப் போலவும், நடக்காத ஒன்றைப் பற்றி புகார் செய்வதாகவும் விரும்பினால், நீங்கள் வாருங்கள் என்று சொல்லலாம், நான் அதை செய்ய முடியும்?",Tamil
197,സ്വയംചലിത യന്ത്രപഠനത്തിലാകട്ടെ ഇൻപുട്ടുകൾ മാത്രം ഉപയോഗിച്ചുകൊണ്ട് ഭാവിയിലെ ഔട്പുട്ട് മൂല്യം അല്ലെങ്കിൽ ഇൻപുട്ട് ഔട്പുട്ട് ബന്ധത്തെക്കുറിച്ച് അറിയാൻ സാധിക്കുന്നു.,Malayalam
358,"ഒരു മിനിറ്റിനുള്ളിൽ ഞാൻ നിങ്ങളോടൊപ്പമുണ്ടാകും, ഞാൻ നിങ്ങളോടൊപ്പമുണ്ടാകും, തുടർന്ന് നിങ്ങൾ എന്തെങ്കിലും ചെയ്യുന്നത് പുനരാരംഭിക്കുകയും ഞങ്ങൾ എവിടെയായിരുന്നുവെന്ന് നിങ്ങൾ പറയുകയും ചെയ്യും.",Malayalam
69,വിക്കിപീഡിയയിലെ ഒരു ലേഖനത്തിനും കൃത്യമായൊരു രചയിതാവില്ല.,Malayalam
1936,ఇవన్నీ చేయగలుగుతానా?,Telugu
1932,10 లక్షలకు విక్రయించింది.,Telugu
1860,పీఎస్ మిత్రన్ ఈ చిత్రానికి దర్శకుడు.,Telugu
492,"എനിക്ക് എന്തെങ്കിലും ചെയ്യാൻ ഇഷ്ടമാണ്, പക്ഷെ എനിക്ക് കഴിയില്ല.",Malayalam
1390,ನನ್ನ ಪ್ರೀತಿಯ ಮಗು ನೀವು ತುಂಬಾ ಸುಂದರ ಮತ್ತು ಸುಂದರವಾಗಿದ್ದೀರಿ ಆದರೆ ನಿಮ್ಮ ಸೌಂದರ್ಯವನ್ನು ಹೊರತುಪಡಿಸಿ ಬೇರೆ ಯಾವುದರ ಬಗ್ಗೆಯೂ ನೀವು ಹೆದರುವುದಿಲ್ಲ.,Kannada
1295,ಈ ವಿಷಯದಲ್ಲಿ ನನಗೆ ಅಭಿಪ್ರಾಯವಿಲ್ಲ.,Kannada
1025,"நேற்று இரவு நன்றாக அம்மா இது ஒரு அற்புதமான கனவு என்று எனக்குத் தெரியும், இந்த இளவரசன் என்னிடம் வந்தான்.",Tamil
959,"நிச்சயமாக, உங்கள் மனதில் என்ன இருக்கிறது?",Tamil
741,"ஒரு கூர்மையான கோணம் 90 டிகிரிக்குக் குறைவான இந்த கூர்மையான கோணமாகும், எனவே ஒரு சொல் கூர்மையைக் குறிக்கப் பயன்படுகிறது, எனவே மனரீதியாகக் கூர்மையானது மற்றும் அபத்தமானது அப்பட்டமானதைக் குறிக்கிறது .அதனால் மனதில் சற்று மெதுவாக இருப்பதால் உதாரணம் கொண்ட வாக்கியங்கள் மனிதன் அவர் தனது கடவுச்சொல்லை ஒரு போலி அழைப்பாளருக்கோ அல்லது பரபரப்பான குழந்தைக்கோ கொடுத்தார்.",Tamil
283,കാരണം ഞങ്ങൾ വളരെ ആവേശത്തിലാണ്.,Malayalam
1547,మాకు ఎవరూ బాసులు లేరు.,Telugu
1560,ఈ మ‌ధ్యే విడుద‌లైన చిత్ర ట్రైల‌ర్ ఆడియోకు ప్రేక్ష‌కుల నుంచి అద్భుత‌మైన స్పంద‌న వ‌స్తోంది.,Telugu
1457,అయితే ఈ విషయమై ఆయన నుండి ఇప్పటి వరకు ఎలాంటి అధికారిక ప్రకటన కూడా వెలువడలేదు.,Telugu
1662,వాళ్ళిద్దరూ వాడివైపు చూశారు.,Telugu
1593,నోట్లరద్దు ఆర్థిక వ్యవస్థపై తీవ్ర ప్రతికూల ప్రభావం చూపింది.,Telugu
1636,మరియు అస్తవ్యస్తం చేయడం లేదని.,Telugu
182,വിക്കിപീഡിയ പ്രവർത്തകർ ജനുവരി 15 ന് വിക്കിപീഡിയയെ കുറിച്ച് ചർച്ച ചെയ്യുന്നു.,Malayalam
987,"நான் நன்றாக இருக்கிறேன், ஆனால் வழங்கியதற்கு நன்றி.",Tamil
1671,దీని వల్ల వేడిమి ప్రాంతాల్లో ఈ మొక్కలు కొన్ని సంవత్సరాల పాటు జీవించగలుగుతాయి.,Telugu
264,ഇന്ന് വൈകുന്നേരം എനിക്ക് എന്റെ ചങ്ങാതിമാരുമായി ഒരു കൂടിക്കാഴ്‌ചയുണ്ട് അല്ലെങ്കിൽ ഞാൻ നാളെ എന്റെ സുഹൃത്തുക്കളുമായി കൂടിക്കാഴ്ചയ്ക്ക് പോകുന്നു.,Malayalam
121,എന്നിരുന്നാലും വിക്കിപീഡിയയിൽ രജിസ്റ്റർ ചെയ്യാത്ത വിക്കിപീഡിയരും കുറവല്ല.,Malayalam
